sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
241,390,04,1622.8,563.26,1526.37,1.43
279,96,06,2187.87,1177.88,1995.09,1.48
392,33,04,919.73,379.72,856.66,1.44
192,51,06,1810.34,1005.21,1601.43,1.62
116,64,04,2235.25,1591.18,1917.53,1.65
400,88,05,4060.21,1909.04,3513.62,1.79
70,336,04,1619.68,608.24,1531.85,1.38
181,114,06,513.7,278.38,447.02,2.0
291,13,06,909.51,568.19,834.43,1.42
207,354,06,741.98,522.22,607.99,1.89
172,204,06,1103.26,949.84,939.94,1.64
290,23,06,1340.47,315.14,1299.36,1.3
362,294,06,1894.83,1141.51,1695.3,1.53
372,194,06,2006.24,650.82,1926.0,1.31
93,243,05,1180.88,500.25,1087.25,1.51
90,273,05,443.95,319.37,379.09,1.76
86,372,06,1386.9,858.42,1222.88,1.62
141,59,04,1751.23,629.17,1647.61,1.42
96,272,06,1477.61,741.89,1367.29,1.43
95,282,06,2154.63,1502.69,1657.98,2.14
297,322,04,718.9,628.78,563.47,1.92
293,362,04,3715.73,1937.16,3237.53,1.71
345,65,04,1671.34,363.44,1633.16,1.24
242,15,05,1141.49,316.27,1103.13,1.29
257,64,04,1607.01,980.83,1361.93,1.78
77,90,05,1792.66,1036.94,1583.32,1.62
70,252,04,2640.83,1235.81,2353.68,1.63
71,242,04,1128.59,448.48,1043.03,1.56
64,312,04,3840.53,2719.76,3152.88,1.83
28,151,06,2589.49,864.13,2466.49,1.35
16,271,06,2252.48,1458.25,1903.27,1.78
65,26,06,344.98,463.08,165.01,3.85
64,36,06,2556.9,1151.48,2317.72,1.57
341,21,05,854.12,812.2,665.72,1.85
24,191,06,781.86,641.37,651.2,1.7
299,150,06,953.67,398.05,885.63,1.45
244,198,05,816.41,698.31,665.59,1.83
234,298,05,401.93,116.78,387.13,1.31
276,164,06,1797.22,1145.21,1524.65,1.75
245,188,05,2598.47,1417.74,2265.17,1.7
259,334,06,685.67,843.38,588.07,1.52
333,65,04,3314.89,2251.12,2553.03,2.2
341,114,05,1282.29,936.91,1085.31,1.69
273,194,06,1072.34,629.32,968.24,1.51
246,178,05,3498.22,1564.2,3134.69,1.62
266,264,06,1695.42,702.44,1564.87,1.5
257,354,06,1410.46,1277.06,1151.75,1.74
281,77,06,389.41,438.64,301.12,1.92
15,159,04,719.62,193.7,697.73,1.27
128,82,04,277.55,386.72,178.37,2.42
334,107,05,1740.53,1167.35,1319.33,2.45
321,237,05,5214.92,2190.89,4730.83,1.58
242,355,06,710.6,726.48,594.69,1.67
263,145,06,574.52,374.43,498.91,1.66
142,282,04,1373.39,997.97,1168.33,1.7
133,372,04,1949.91,1210.59,1710.76,1.62
133,33,06,2512.65,1362.23,2259.5,1.55
153,172,04,1558.44,546.17,1454.41,1.51
59,291,05,2184.46,1196.06,1895.33,1.7
69,191,05,1718.0,1111.18,1480.78,1.66
139,312,04,1314.2,963.28,1130.58,1.65
362,96,05,135.39,226.91,97.15,1.97
368,36,05,1709.53,1287.21,1424.8,1.73
151,192,04,879.6,779.2,646.28,2.25
271,142,05,781.82,681.4,614.81,1.92
78,28,05,2071.9,1066.69,1825.08,1.66
194,36,04,1388.84,665.25,1251.71,1.61
192,56,04,1710.51,1256.96,1448.54,1.7
336,86,04,1527.92,827.97,1326.89,1.7
288,188,06,2920.2,1410.22,2582.77,1.66
269,378,06,1626.95,810.96,1453.78,1.59
327,64,04,854.42,757.01,557.26,2.92
65,133,06,2722.43,1633.87,2339.89,1.72
68,103,06,2740.84,1399.7,2457.91,1.57
58,203,06,1316.51,594.88,1210.65,1.48
191,27,05,1899.43,918.22,1715.28,1.56
40,383,06,3202.17,1805.56,2825.34,1.62
297,107,05,394.66,475.82,264.78,2.48
282,257,05,798.42,726.25,648.69,1.85
51,273,06,3377.12,1599.51,3034.34,1.58
276,317,05,2358.79,1102.36,2064.27,1.75
330,381,06,589.78,596.07,482.38,1.72
271,367,05,1708.79,1111.82,1441.45,1.83
368,198,05,681.65,822.54,529.69,1.84
102,138,06,499.97,416.32,373.55,2.27
138,151,06,1975.21,780.88,1860.19,1.4
334,341,06,455.75,314.89,393.63,1.66
333,351,06,1682.99,1217.95,1414.47,1.75
367,210,06,1287.7,754.11,1098.23,1.75
354,340,06,417.61,577.49,330.26,1.76
355,330,06,758.27,195.37,735.15,1.28
341,271,06,2773.93,1924.67,2329.73,1.76
141,293,04,1513.9,634.95,1408.99,1.44
157,133,04,2446.95,943.67,2270.99,1.49
397,87,04,1539.83,626.79,1443.41,1.4
317,164,04,1370.85,731.96,1206.33,1.66
96,244,04,2826.6,1943.89,2299.06,1.92
278,372,04,1401.64,524.25,1307.85,1.46
288,272,04,2508.15,1106.41,2260.14,1.61
41,142,05,1834.99,752.1,1724.08,1.39
287,282,04,2455.67,1511.88,2112.66,1.73
276,392,04,733.12,1021.55,519.54,2.27
32,24,06,900.58,212.76,877.16,1.25
279,362,04,2813.66,1349.72,2532.74,1.58
288,79,04,1408.47,795.11,1245.24,1.61
