sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
102,138,06,423.4,309.01,333.5,2.11
138,151,06,1786.2,800.85,1667.02,1.44
330,381,06,537.79,179.72,513.57,1.34
333,351,06,1336.83,1111.75,1115.35,1.72
367,210,06,1196.47,698.49,1044.5,1.66
355,330,06,759.3,361.85,705.02,1.41
354,340,06,400.58,385.0,332.74,1.66
341,271,06,1744.64,636.19,1613.9,1.51
141,293,04,1491.52,849.98,1351.88,1.5
157,133,04,2309.92,1338.95,2045.44,1.6
397,87,04,1394.78,486.85,1326.28,1.35
317,164,04,1094.12,529.84,976.31,1.62
96,244,04,1768.95,1362.46,1488.29,1.69
279,362,04,2220.07,1037.38,2036.52,1.49
276,392,04,717.3,814.71,460.53,2.81
41,142,05,2104.35,1097.29,1898.01,1.53
287,282,04,1322.29,826.87,1119.92,1.74
278,372,04,1517.06,839.53,1368.89,1.52
288,272,04,1823.58,367.79,1785.77,1.23
288,79,04,1033.92,482.77,938.92,1.53
294,369,05,360.73,190.45,312.67,1.76
214,389,05,490.91,142.07,473.92,1.29
172,26,06,1646.39,641.49,1548.3,1.4
58,385,05,1972.53,903.4,1782.51,1.57
52,241,04,1417.39,732.09,1248.32,1.74
61,151,04,1395.83,504.64,1310.66,1.43
56,37,04,1173.56,941.97,971.24,1.74
52,77,04,2099.94,781.78,1969.29,1.43
386,78,05,1430.7,642.43,1323.12,1.46
385,88,05,3482.79,2078.28,2961.81,1.76
211,148,05,1339.35,1260.85,1070.54,1.8
69,344,06,1284.27,724.9,1146.88,1.56
68,354,06,1789.17,804.05,1671.84,1.4
77,264,06,1845.66,858.29,1709.63,1.45
94,344,05,287.4,194.19,239.05,1.8
96,324,05,2142.54,891.45,1975.86,1.49
88,154,06,2038.67,1345.18,1767.5,1.62
400,362,05,1521.94,730.44,1398.63,1.47
358,59,04,1071.17,279.51,1031.56,1.33
95,334,05,1054.56,768.56,894.77,1.7
245,164,04,1668.19,965.4,1435.35,1.72
316,65,05,2712.53,1162.32,2439.01,1.62
316,161,05,2865.68,1160.08,2619.64,1.56
308,241,05,1922.42,919.74,1718.35,1.61
317,151,05,1500.04,876.64,1283.06,1.75
293,244,05,1447.97,932.36,1250.89,1.67
282,354,05,1694.67,1182.96,1442.12,1.67
297,204,05,1401.8,815.41,1244.08,1.58
229,324,04,1838.3,647.29,1737.31,1.39
321,379,04,2656.27,1152.2,2471.48,1.44
